Date,Cumulative cases / day
04-11-20,"27,622"
05-11-20,"27,634"
06-11-20,"27,645"
07-11-20,"27,652"
08-11-20,"27,658"
09-11-20,"27,668"
10-11-20,"27,677"
11-11-20,"27,685"
12-11-20,"27,698"
13-11-20,"27,703"
14-11-20,"27,711"
15-11-20,"27,728"
16-11-20,"27,750"
17-11-20,"27,760"
18-11-20,"27,777"
19-11-20,"27,784"
20-11-20,"27,792"
21-11-20,"27,806"
22-11-20,"27,821"
23-11-20,"27,835"
24-11-20,"27,848"
25-11-20,"27,856"
26-11-20,"27,864"
27-11-20,"27,874"
28-11-20,"27,885"
29-11-20,"27,892"
30-11-20,"27,903"
01-12-20,"27,912"
02-12-20,"27,923"
03-12-20,"27,940"
04-12-20,"27,949"
05-12-20,"27,956"
06-12-20,"27,965"
07-12-20,"27,972"
08-12-20,"27,987"
09-12-20,"27,993"
10-12-20,"28,001"
11-12-20,"28,012"
12-12-20,"28,025"
13-12-20,"28,030"
14-12-20,"28,039"
15-12-20,"28,047"
16-12-20,"28,059"
17-12-20,"28,072"
18-12-20,"28,093"
19-12-20,"28,128"
20-12-20,"28,172"
21-12-20,"28,198"
22-12-20,"28,219"
23-12-20,"28,237"
24-12-20,"28,262"
25-12-20,"28,276"
26-12-20,"28,296"
27-12-20,"28,312"
28-12-20,"28,337"
29-12-20,"28,350"
30-12-20,"28,381"
31-12-20,"28,407"
01-01-21,"28,427"
02-01-21,"28,470"
03-01-21,"28,483"
04-01-21,"28,505"
05-01-21,"28,523"
06-01-21,"28,536"
07-01-21,"28,546"
08-01-21,"28,571"
09-01-21,"28,582"
10-01-21,"28,595"
11-01-21,"28,614"
12-01-21,"28,634"
13-01-21,"28,650"
14-01-21,"28,658"
15-01-21,"28,669"
16-01-21,"28,689"
17-01-21,"28,708"
18-01-21,"28,721"
19-01-21,"28,731"
20-01-21,"28,740"
21-01-21,"28,749"
22-01-21,"28,755"
23-01-21,"28,761"
24-01-21,"28,766"
25-01-21,"28,777"
26-01-21,"28,780"
27-01-21,"28,787"
28-01-21,"28,794"
29-01-21,"28,800"
30-01-21,"28,806"
31-01-21,"28,812"
01-02-21,"28,818"
02-02-21,"28,824"
03-02-21,"28,829"
04-02-21,"28,838"
05-02-21,"28,842"
06-02-21,"28,848"
07-02-21,"28,850"
08-02-21,"28,857"
09-02-21,"28,860"
10-02-21,"28,871"
11-02-21,"28,879"
