"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"07/04/21","6","0","6","1","1","0","0","0"
"08/04/21","2","0","3","1","0","0","0","0"
"09/04/21","2","0","1","2","0","0","0","0"
"10/04/21","4","1","1","0","0","0","0","0"
"11/04/21","6","0","0","1","2","0","0","0"
"12/04/21","9","2","2","0","1","0","0","0"
"13/04/21","5","0","2","8","3","0","0","0"
"14/04/21","3","0","2","1","7","0","0","0"
"15/04/21","9","5","0","2","1","0","1","0"
"16/04/21","7","0","5","1","1","0","0","0"
"17/04/21","7","3","1","4","1","0","6","0"
"18/04/21","6","0","2","0","6","0","0","0"
"19/04/21","8","4","0","6","2","0","4","0"
"20/04/21","3","1","0","3","3","0","6","0"
"21/04/21","8","3","1","2","2","0","3","0"
"22/04/21","7","2","0","9","2","0","5","0"
"23/04/21","18","2","4","1","0","0","12","0"
"24/04/21","1","2","1","1","2","0","10","0"
"25/04/21","1","1","2","1","2","0","1","0"
"26/04/21","8","0","2","14","0","0","4","0"
"27/04/21","12","4","2","1","4","0","0","0"
"28/04/21","9","2","9","0","4","0","1","1"
"29/04/21","15","1","4","3","4","0","0","0"
"30/04/21","13","2","3","2","1","0","1","0"
"01/05/21","4","3","0","2","1","0","0","0"
"02/05/21","3","1","0","2","5","0","0","0"
"03/05/21","5","1","3","3","3","0","0","0"
"04/05/21","7","1","1","2","0","0","0","0"
"05/05/21","11","0","0","1","2","0","0","0"
"06/05/21","10","2","3","2","3","0","1","0"
"07/05/21","5","0","2","3","0","0","0","0"
"08/05/21","6","1","2","0","0","0","0","0"
"09/05/21","6","5","3","2","0","0","0","0"
"10/05/21","6","2","1","0","0","0","0","0"
"11/05/21","4","1","0","0","2","0","0","0"
"12/05/21","4","1","3","1","0","0","0","0"
"13/05/21","5","1","0","0","0","0","0","0"
"14/05/21","1","1","0","0","0","0","0","0"
"15/05/21","3","1","1","1","0","0","2","0"
"16/05/21","3","4","1","0","0","0","0","0"
"17/05/21","2","1","1","0","0","0","0","0"
"18/05/21","3","0","2","4","0","0","1","0"
"19/05/21","2","1","1","0","0","0","0","0"
"20/05/21","2","0","1","1","1","0","0","0"
"21/05/21","0","0","2","1","0","0","0","0"
"22/05/21","1","0","2","0","0","0","1","0"
"23/05/21","2","1","0","0","0","0","0","0"
"24/05/21","2","1","3","1","1","0","0","0"
"25/05/21","2","4","2","1","0","0","0","0"
"26/05/21","2","10","1","2","0","0","0","0"
"27/05/21","0","12","2","0","0","0","1","0"
"28/05/21","3","6","2","0","0","0","0","0"
"29/05/21","1","6","1","0","0","0","1","0"
"30/05/21","5","6","2","2","0","0","0","0"
"31/05/21","2","5","0","0","1","0","0","0"
"01/06/21","0","10","0","0","1","0","0","0"
"02/06/21","1","6","1","6","0","0","0","0"
"03/06/21","2","3","2","1","0","0","0","0"
"04/06/21","0","6","0","1","0","0","0","0"
"05/06/21","0","5","1","1","0","0","0","0"
"06/06/21","5","8","2","2","0","0","0","0"
"07/06/21","5","11","0","3","0","0","0","0"
"08/06/21","5","3","1","2","0","0","1","0"
"09/06/21","4","1","3","1","0","0","0","0"
"10/06/21","3","4","7","2","0","0","0","0"
"11/06/21","1","1","0","1","0","0","0","0"
"12/06/21","1","4","1","3","0","0","0","0"
"13/06/21","1","1","7","1","0","0","1","0"
"14/06/21","6","6","1","0","0","0","0","0"
"15/06/21","4","3","2","1","1","0","0","0"
"16/06/21","3","8","0","4","1","0","0","0"
"17/06/21","5","1","6","1","0","0","0","0"
"18/06/21","1","2","3","3","0","0","1","0"
"19/06/21","6","3","0","1","0","0","0","0"
"20/06/21","6","1","1","0","0","0","0","0"
"21/06/21","7","8","5","3","0","0","0","0"
"22/06/21","10","1","3","0","0","0","0","0"
"23/06/21","17","1","1","0","0","0","1","0"
"24/06/21","12","3","4","4","1","0","0","0"
"25/06/21","23","2","2","0","0","0","0","0"
"26/06/21","12","3","1","2","0","0","1","0"
"27/06/21","32","2","3","3","1","0","3","0"
"28/06/21","22","2","3","0","1","0","1","0"
"29/06/21","20","2","4","2","1","0","2","0"
"30/06/21","28","2","4","11","4","0","0","0"
"01/07/21","28","0","4","0","0","0","1","0"
"02/07/21","32","3","5","2","1","0","0","0"
"03/07/21","40","0","8","1","0","0","0","0"
"04/07/21","16","1","2","2","1","0","0","0"
"05/07/21","37","2","7","1","0","0","0","0"
"06/07/21","18","2","6","0","3","0","0","0"
"07/07/21","28","0","1","0","0","0","0","0"
"08/07/21","38","0","3","1","0","0","3","0"
"09/07/21","45","1","0","2","0","0","0","0"
"10/07/21","52","3","5","2","0","0","0","0"
"11/07/21","82","0","1","1","2","0","0","0"
"12/07/21","116","0","1","2","1","0","1","0"
"13/07/21","93","3","3","0","0","0","0","0"
"14/07/21","99","2","5","2","0","0","0","0"
"15/07/21","67","10","5","2","0","0","1","0"
"16/07/21","98","10","1","6","0","0","1","0"
"17/07/21","117","20","1","0","1","0","0","0"
"18/07/21","109","18","1","0","0","0","0","0"
"19/07/21","100","14","2","3","1","0","0","0"
"20/07/21","79","15","3","3","8","0","0","0"
"21/07/21","112","23","1","8","2","0","0","0"
"22/07/21","124","27","0","3","0","0","0","0"
"23/07/21","141","14","3","2","0","0","0","0"
"24/07/21","164","12","0","1","0","0","1","0"
"25/07/21","141","12","5","3","0","0","0","0"
"26/07/21","151","12","1","2","0","0","0","0"
"27/07/21","175","10","0","0","2","0","0","0"
"28/07/21","177","8","20","0","1","0","0","0"
"29/07/21","240","7","1","2","6","0","5","0"
"30/07/21","172","3","2","0","0","0","0","0"
"31/07/21","212","2","7","0","0","0","2","0"
"01/08/21","241","4","9","3","0","0","0","0"
"02/08/21","209","2","15","1","1","0","1","0"
"03/08/21","202","5","16","0","0","0","0","0"
"04/08/21","234","1","19","3","1","0","0","0"
"05/08/21","268","6","27","0","0","1","0","0"
"06/08/21","291","6","10","0","0","0","0","0"
"07/08/21","321","29","13","0","0","0","0","0"
"08/08/21","268","12","9","2","0","0","0","0"
"09/08/21","285","11","5","0","0","0","0","0"
"10/08/21","360","20","3","0","0","0","0","0"
"11/08/21","344","20","4","0","0","0","0","0"
"12/08/21","347","23","11","0","0","0","0","1"
"13/08/21","391","15","8","0","0","0","0","5"
"14/08/21","467","21","7","0","0","0","0","1"
"15/08/21","417","25","1","0","0","0","0","2"
"16/08/21","480","22","0","0","2","0","1","19"
"17/08/21","454","23","2","0","0","0","0","17"
"18/08/21","634","24","4","0","1","0","0","22"
"19/08/21","684","57","0","1","0","0","0","16"
"20/08/21","646","56","1","0","1","0","0","12"
"21/08/21","832","61","2","0","0","0","0","8"
"22/08/21","830","65","0","0","0","0","0","19"
"23/08/21","818","65","2","1","1","0","0","16"
"24/08/21","755","48","6","0","0","0","0","30"
"25/08/21","921","45","0","0","20","0","0","9"
"26/08/21","1034","79","2","0","0","0","0","14"
"27/08/21","885","81","1","0","2","0","1","21"
"28/08/21","1036","62","4","1","2","0","0","26"
"29/08/21","1221","86","1","0","0","0","1","13"
"30/08/21","1293","72","2","0","0","0","0","12"
"31/08/21","1168","72","0","0","0","0","0","13"
"01/09/21","1118","121","1","0","0","0","0","23"
"02/09/21","1288","177","2","4","0","0","0","12"
"03/09/21","1432","204","0","2","0","0","0","18"
"04/09/21","1534","187","2","2","0","0","0","32"
"05/09/21","1487","176","1","2","0","0","0","15"
"06/09/21","1282","242","5","1","1","0","1","11"
"07/09/21","1222","244","0","6","0","0","0","19"
"08/09/21","1480","216","0","1","0","0","0","20"
"09/09/21","1407","317","1","2","1","0","0","15"
"10/09/21","1542","335","2","0","0","0","0","24"
"11/09/21","1603","440","8","1","0","0","0","15"
"12/09/21","1262","385","0","2","1","0","0","15"
"13/09/21","1260","461","4","1","0","0","0","13"
"14/09/21","1136","437","2","1","0","0","0","22"
"15/09/21","1261","394","1","0","0","0","1","13"
"16/09/21","1351","499","3","2","0","0","0","15"
"17/09/21","1286","511","1","0","2","0","0","30"
"18/09/21","1333","512","1","0","1","0","0","15"
"19/09/21","1085","499","0","0","1","0","0","17"
"20/09/21","936","560","2","0","1","0","2","7"
"21/09/21","1023","594","1","0","0","0","0","16"
"22/09/21","1035","621","1","1","0","0","2","17"
"23/09/21","1064","766","2","1","0","0","0","16"
